time,datasource
05/01/2022 00:02:47,Computer 78
05/01/2022 00:15:03,Computer 99
05/01/2022 00:50:27,Computer 60
05/01/2022 00:09:24,Computer 75
05/01/2022 00:26:18,Computer 97
05/01/2022 00:48:18,Computer 98
05/01/2022 00:23:33,Computer 60
05/01/2022 00:30:24,Computer 95
05/01/2022 00:47:31,Computer 19
05/01/2022 00:57:00,Computer 69
05/01/2022 00:18:57,Computer 58
05/01/2022 00:09:46,Computer 31
05/01/2022 00:21:13,Computer 50
05/01/2022 00:39:46,Computer 52
05/01/2022 00:52:54,Computer 59
05/01/2022 00:44:03,Computer 67
05/01/2022 00:33:43,Computer 6
05/01/2022 00:32:29,Computer 76
05/01/2022 00:53:24,Computer 36
05/01/2022 00:29:33,Computer 63
05/01/2022 00:04:43,Firewall 3
05/01/2022 00:48:12,Computer 68
05/01/2022 00:43:52,Computer 55
05/01/2022 00:41:29,Computer 63
05/01/2022 00:22:19,Computer 61
05/01/2022 00:44:47,Computer 56
05/01/2022 00:05:46,Computer 92
05/01/2022 00:22:17,Computer 84
05/01/2022 00:03:10,Computer 93
05/01/2022 00:22:26,Computer 75
05/01/2022 00:58:39,Computer 32
05/01/2022 00:05:49,Firewall 2
05/01/2022 00:55:19,Computer 60
05/01/2022 00:55:21,Computer 31
05/01/2022 00:56:07,Computer 68
05/01/2022 00:16:02,Computer 97
05/01/2022 00:04:23,Computer 77
05/01/2022 00:11:49,Computer 60
05/01/2022 00:08:47,Computer 54
05/01/2022 00:17:52,Computer 84
05/01/2022 00:35:38,Computer 62
05/01/2022 00:07:32,Computer 59
05/01/2022 00:35:44,Computer 69
05/01/2022 00:18:40,Computer 35
05/01/2022 00:55:15,Computer 73
05/01/2022 00:12:32,Computer 96
05/01/2022 00:41:50,Computer 33
05/01/2022 00:22:37,Firewall 1
05/01/2022 00:00:31,Computer 12
05/01/2022 00:37:17,Computer 24
05/01/2022 00:22:15,Computer 79
05/01/2022 00:52:09,Computer 61
05/01/2022 00:25:16,Computer 94
05/01/2022 00:27:11,Computer 13
05/01/2022 00:56:33,Computer 77
05/01/2022 00:28:11,Computer 23
05/01/2022 00:04:27,Computer 54
05/01/2022 00:58:35,Computer 49
05/01/2022 00:41:14,Computer 56
05/01/2022 00:19:52,Computer 64
05/01/2022 00:45:27,Computer 27
05/01/2022 00:08:24,Computer 22
05/01/2022 00:21:12,Computer 55
05/01/2022 00:16:02,Computer 17
05/01/2022 00:42:37,Computer 14
05/01/2022 00:42:02,Computer 77
05/01/2022 00:16:28,Computer 65
05/01/2022 00:00:45,Computer 25
05/01/2022 00:47:16,Computer 48
05/01/2022 00:53:47,Computer 31
05/01/2022 00:41:28,Computer 70
05/01/2022 00:28:04,Computer 57
05/01/2022 00:22:20,Computer 97
05/01/2022 00:51:23,Computer 49
05/01/2022 00:47:47,Computer 59
05/01/2022 00:47:53,Computer 84
05/01/2022 00:27:46,Computer 34
05/01/2022 00:14:00,Computer 73
05/01/2022 00:57:37,Computer 68
05/01/2022 00:19:11,Computer 5
05/01/2022 00:04:38,Computer 55
05/01/2022 00:48:21,Computer 94
05/01/2022 00:24:16,Computer 74
05/01/2022 00:18:43,Computer 44
05/01/2022 00:07:10,Computer 77
05/01/2022 00:25:00,Computer 100
05/01/2022 00:39:34,Firewall 3
05/01/2022 00:06:45,Computer 85
05/01/2022 00:12:40,Computer 59
05/01/2022 00:59:06,Computer 79
05/01/2022 00:02:43,Computer 96
05/01/2022 00:40:31,Computer 76
05/01/2022 00:28:14,Computer 10
05/01/2022 00:45:29,Computer 32
05/01/2022 00:35:27,Computer 45
05/01/2022 00:32:14,Computer 70
05/01/2022 00:44:49,Computer 100
05/01/2022 00:34:12,Computer 53
05/01/2022 00:49:08,Computer 10
05/01/2022 00:16:52,Computer 37
05/01/2022 00:24:33,Computer 78
05/01/2022 00:11:31,Computer 10
05/01/2022 00:55:45,Computer 55
05/01/2022 00:49:33,Computer 39
05/01/2022 00:53:13,Computer 2
05/01/2022 00:50:08,Computer 15
05/01/2022 00:14:52,Computer 21
05/01/2022 00:14:20,Computer 33
05/01/2022 00:36:13,Computer 34
05/01/2022 00:13:50,Computer 82
05/01/2022 00:47:30,Computer 90
05/01/2022 00:19:56,Computer 49
05/01/2022 00:25:47,Computer 15
05/01/2022 00:50:04,Computer 44
05/01/2022 00:04:19,Computer 33
05/01/2022 00:49:10,Computer 97
05/01/2022 00:33:12,Computer 37
05/01/2022 00:33:29,Computer 46
05/01/2022 00:30:08,Computer 70
05/01/2022 00:13:12,Computer 38
05/01/2022 00:45:38,Computer 92
05/01/2022 00:27:54,Computer 13
05/01/2022 00:43:31,Computer 48
05/01/2022 00:10:43,Computer 65
05/01/2022 00:33:42,Computer 75
05/01/2022 00:46:15,Computer 66
05/01/2022 00:53:27,Computer 18
05/01/2022 00:32:57,Computer 21
05/01/2022 00:30:36,Computer 56
05/01/2022 00:34:12,Computer 65
05/01/2022 00:07:28,Computer 66
05/01/2022 00:18:39,Computer 65
05/01/2022 00:19:13,Computer 83
05/01/2022 00:45:38,Computer 85
05/01/2022 00:31:01,Computer 36
05/01/2022 00:41:10,Computer 11
05/01/2022 00:01:11,Computer 19
05/01/2022 00:39:04,Computer 65
05/01/2022 00:16:51,Computer 53
05/01/2022 00:07:11,Computer 79
05/01/2022 00:56:05,Computer 15
05/01/2022 00:41:05,Computer 4
05/01/2022 00:40:41,Computer 60
05/01/2022 00:31:51,Computer 34
05/01/2022 00:49:00,Computer 10
05/01/2022 00:26:54,Computer 68
05/01/2022 00:47:44,Computer 6
05/01/2022 00:38:00,Computer 43
05/01/2022 00:19:57,Computer 2
05/01/2022 00:35:33,Computer 14
05/01/2022 00:42:26,Computer 20
05/01/2022 00:01:29,Computer 94
05/01/2022 00:05:14,Computer 5
05/01/2022 00:37:23,Computer 53
05/01/2022 00:26:20,Computer 43
05/01/2022 00:11:49,Computer 76
05/01/2022 00:31:43,Computer 36
05/01/2022 00:15:19,Computer 29
05/01/2022 00:06:47,Firewall 3
05/01/2022 00:06:09,Computer 26
05/01/2022 00:28:32,Computer 40
05/01/2022 00:47:01,Computer 8
05/01/2022 00:04:19,Computer 77
05/01/2022 00:04:50,Computer 3
05/01/2022 00:00:40,Computer 70
05/01/2022 00:38:35,Computer 56
05/01/2022 00:24:07,Computer 5
05/01/2022 00:18:21,Computer 8
05/01/2022 00:28:06,Computer 98
05/01/2022 00:01:16,Computer 87
05/01/2022 00:38:17,Computer 12
05/01/2022 00:54:20,Computer 16
05/01/2022 00:36:51,Computer 86
05/01/2022 00:10:59,Computer 52
05/01/2022 00:48:07,Computer 10
05/01/2022 00:02:35,Computer 60
05/01/2022 00:50:19,Computer 4
05/01/2022 00:51:56,Computer 1
05/01/2022 00:57:52,Firewall 2
05/01/2022 00:01:23,Computer 23
05/01/2022 00:42:21,Computer 51
05/01/2022 00:40:45,Computer 2
05/01/2022 00:48:53,Computer 20
05/01/2022 00:43:08,Computer 91
05/01/2022 00:23:11,Computer 36
05/01/2022 00:05:10,Computer 40
05/01/2022 00:42:24,Computer 71
05/01/2022 00:25:10,Computer 97
05/01/2022 00:22:40,Computer 11
05/01/2022 00:07:41,Computer 99
05/01/2022 00:34:58,Computer 91
05/01/2022 00:28:43,Computer 78
05/01/2022 00:50:13,Computer 58
05/01/2022 00:43:30,Computer 6
05/01/2022 00:48:33,Computer 70
05/01/2022 00:20:12,Computer 70
05/01/2022 00:51:05,Computer 1
05/01/2022 00:23:31,Computer 37
05/01/2022 00:25:01,Computer 21
05/01/2022 00:46:07,Computer 84
05/01/2022 00:05:26,Computer 28
05/01/2022 00:05:49,Computer 2
05/01/2022 00:18:24,Computer 36
05/01/2022 00:06:42,Computer 1
05/01/2022 00:37:31,Computer 24
05/01/2022 00:09:30,Computer 17
05/01/2022 00:29:22,Computer 90
05/01/2022 00:03:35,Computer 19
05/01/2022 00:13:19,Computer 57
05/01/2022 00:16:32,Computer 2
05/01/2022 00:01:06,Computer 92
05/01/2022 00:51:51,Computer 7
05/01/2022 00:47:15,Firewall 1
05/01/2022 00:45:05,Computer 12
05/01/2022 00:54:19,Computer 100
05/01/2022 00:32:13,Computer 25
05/01/2022 00:36:23,Computer 72
05/01/2022 00:34:54,Computer 26
05/01/2022 00:57:38,Computer 71
05/01/2022 00:54:44,Firewall 2
05/01/2022 00:53:47,Computer 92
05/01/2022 00:31:48,Computer 78
05/01/2022 00:48:20,Computer 23
05/01/2022 00:56:28,Computer 42
05/01/2022 00:12:16,Computer 28
05/01/2022 00:00:42,Computer 82
05/01/2022 00:09:40,Computer 28
05/01/2022 00:13:27,Computer 48
05/01/2022 00:33:27,Computer 49
05/01/2022 00:28:09,Computer 33
05/01/2022 00:29:45,Computer 34
05/01/2022 00:02:09,Computer 38
05/01/2022 00:28:48,Computer 78
05/01/2022 00:53:21,Computer 84
05/01/2022 00:35:06,Computer 75
05/01/2022 00:36:38,Computer 25
05/01/2022 00:27:25,Computer 35
05/01/2022 00:50:58,Computer 87
05/01/2022 00:48:18,Computer 20
05/01/2022 00:01:29,Computer 15
05/01/2022 00:35:47,Computer 8
05/01/2022 00:28:45,Computer 7
05/01/2022 00:43:25,Computer 91
05/01/2022 00:01:10,Computer 44
05/01/2022 00:00:07,Computer 12
05/01/2022 00:43:55,Computer 54
05/01/2022 00:58:02,Computer 5
05/01/2022 00:56:11,Computer 47
05/01/2022 00:56:02,Firewall 1
05/01/2022 00:43:28,Computer 86
05/01/2022 00:13:05,Computer 17
05/01/2022 00:35:57,Computer 12
05/01/2022 00:27:00,Computer 88
05/01/2022 00:34:55,Computer 84
05/01/2022 00:06:37,Computer 86
05/01/2022 00:13:31,Computer 30
05/01/2022 00:11:01,Computer 22
05/01/2022 00:16:46,Computer 26
05/01/2022 00:05:11,Computer 80
05/01/2022 00:45:39,Computer 40
05/01/2022 00:17:21,Computer 18
05/01/2022 00:44:39,Computer 3
05/01/2022 00:15:10,Computer 41
05/01/2022 00:58:20,Computer 23
05/01/2022 00:25:24,Computer 40
05/01/2022 00:29:52,Computer 39
05/01/2022 00:43:39,Firewall 1
05/01/2022 00:47:44,Computer 11
05/01/2022 00:22:25,Computer 69
05/01/2022 00:56:28,Computer 49
05/01/2022 00:13:37,Computer 37
05/01/2022 00:17:20,Computer 3
05/01/2022 00:22:47,Computer 98
05/01/2022 00:59:42,Computer 49
05/01/2022 00:59:44,Computer 5
05/01/2022 00:06:21,Computer 8
05/01/2022 00:19:36,Computer 32
05/01/2022 00:43:20,Computer 65
05/01/2022 00:15:27,Computer 40
05/01/2022 00:53:07,Computer 80
05/01/2022 00:58:24,Computer 36
05/01/2022 00:24:27,Computer 69
05/01/2022 00:43:31,Computer 82
05/01/2022 00:06:26,Computer 8
05/01/2022 00:34:24,Firewall 1
05/01/2022 00:55:14,Computer 8
05/01/2022 00:45:55,Computer 84
05/01/2022 00:46:41,Computer 25
05/01/2022 00:59:14,Computer 26
05/01/2022 00:26:44,Computer 2
05/01/2022 00:27:38,Computer 4
05/01/2022 00:41:15,Firewall 3
05/01/2022 00:19:21,Computer 65
05/01/2022 00:15:20,Computer 81
05/01/2022 00:37:47,Computer 33
05/01/2022 00:59:53,Computer 77
05/01/2022 00:26:37,Computer 11
05/01/2022 00:10:25,Computer 6
05/01/2022 00:33:56,Computer 2
05/01/2022 00:28:44,Computer 69
05/01/2022 00:59:27,Computer 18
05/01/2022 00:01:22,Computer 63
05/01/2022 00:13:30,Computer 10
05/01/2022 00:57:14,Computer 79
05/01/2022 00:57:19,Computer 57
05/01/2022 00:58:21,Computer 76
05/01/2022 00:12:21,Computer 30
05/01/2022 00:17:42,Computer 22
05/01/2022 00:13:28,Computer 33
05/01/2022 00:14:34,Computer 28
05/01/2022 00:31:10,Computer 60
05/01/2022 00:01:52,Computer 33
05/01/2022 00:56:05,Computer 96
05/01/2022 00:08:11,Computer 86
05/01/2022 00:17:36,Computer 12
05/01/2022 00:53:18,Computer 53
05/01/2022 00:39:56,Computer 57
05/01/2022 00:29:11,Computer 1
05/01/2022 00:14:38,Computer 34
05/01/2022 00:24:31,Computer 41
05/01/2022 00:25:37,Firewall 2
05/01/2022 00:26:31,Computer 24
05/01/2022 00:38:22,Computer 93
05/01/2022 00:24:54,Computer 11
05/01/2022 00:13:58,Computer 49
05/01/2022 00:55:09,Computer 81
05/01/2022 00:17:22,Computer 48
05/01/2022 00:12:01,Computer 95
05/01/2022 00:52:15,Computer 81
05/01/2022 00:44:30,Computer 70
05/01/2022 00:33:11,Computer 97
05/01/2022 00:09:43,Computer 19
05/01/2022 00:11:16,Computer 25
05/01/2022 00:36:55,Computer 3
05/01/2022 00:52:35,Firewall 3
05/01/2022 00:40:36,Computer 19
05/01/2022 00:22:00,Computer 37
05/01/2022 00:38:48,Computer 7
05/01/2022 01:00:00,Computer 95
05/01/2022 00:35:23,Computer 70
05/01/2022 00:17:39,Computer 10
05/01/2022 00:00:50,Computer 78
05/01/2022 00:10:28,Computer 20
05/01/2022 00:30:48,Computer 55
05/01/2022 00:46:10,Computer 22
05/01/2022 00:34:57,Computer 78
05/01/2022 00:14:34,Computer 60
05/01/2022 00:15:20,Computer 88
05/01/2022 00:42:07,Computer 26
05/01/2022 00:02:21,Computer 100
05/01/2022 00:51:41,Computer 11
05/01/2022 00:48:08,Computer 41
05/01/2022 00:10:29,Computer 67
05/01/2022 00:58:52,Computer 37
05/01/2022 00:01:09,Computer 61
05/01/2022 00:09:50,Computer 37
05/01/2022 00:19:46,Computer 51
05/01/2022 00:14:34,Computer 72
05/01/2022 00:43:34,Computer 35
05/01/2022 00:28:58,Computer 14
05/01/2022 00:50:36,Computer 7
05/01/2022 00:08:29,Computer 13
05/01/2022 00:59:21,Computer 48
05/01/2022 00:06:16,Computer 77
05/01/2022 00:38:47,Computer 97
05/01/2022 00:50:56,Computer 91
05/01/2022 00:23:21,Computer 29
05/01/2022 00:00:38,Computer 57
05/01/2022 00:00:12,Computer 83
05/01/2022 00:08:27,Computer 21
05/01/2022 00:07:37,Computer 94
05/01/2022 00:57:30,Computer 62
05/01/2022 00:29:07,Computer 41
05/01/2022 00:39:05,Computer 83
05/01/2022 00:53:16,Computer 1
05/01/2022 00:06:38,Computer 52
05/01/2022 00:12:55,Computer 91
05/01/2022 00:46:27,Computer 87
05/01/2022 00:17:42,Computer 87
05/01/2022 00:30:48,Computer 83
05/01/2022 00:20:23,Computer 57
05/01/2022 00:08:38,Computer 75
05/01/2022 00:56:58,Computer 29
05/01/2022 00:59:17,Computer 63
05/01/2022 00:09:17,Computer 39
05/01/2022 00:38:55,Firewall 2
05/01/2022 00:48:53,Computer 42
05/01/2022 00:35:52,Computer 64
05/01/2022 00:56:35,Computer 56
05/01/2022 00:22:46,Computer 31
05/01/2022 00:43:38,Computer 32
05/01/2022 00:34:37,Computer 59
05/01/2022 00:02:34,Computer 55
05/01/2022 00:44:50,Computer 8
05/01/2022 00:15:24,Computer 63
05/01/2022 00:24:02,Computer 40
05/01/2022 00:27:32,Computer 20
05/01/2022 00:09:23,Computer 3
05/01/2022 00:24:53,Computer 44
05/01/2022 00:44:39,Computer 76
05/01/2022 00:02:26,Computer 25
05/01/2022 00:29:26,Computer 84
05/01/2022 00:26:07,Computer 49
05/01/2022 00:12:01,Computer 52
05/01/2022 00:33:11,Computer 20
05/01/2022 00:07:39,Computer 59
05/01/2022 00:04:17,Computer 88
05/01/2022 00:47:39,Computer 2
05/01/2022 00:07:40,Firewall 2
05/01/2022 00:06:06,Computer 1
05/01/2022 00:27:24,Computer 24
05/01/2022 00:42:01,Computer 32
05/01/2022 00:27:41,Computer 47
05/01/2022 00:14:58,Computer 88
05/01/2022 00:39:17,Computer 49
05/01/2022 00:56:20,Computer 75
05/01/2022 00:22:59,Computer 80
05/01/2022 00:29:36,Computer 37
05/01/2022 00:09:05,Computer 34
05/01/2022 00:59:24,Computer 77
05/01/2022 00:12:46,Computer 64
05/01/2022 00:50:30,Computer 82
05/01/2022 00:28:45,Computer 40
05/01/2022 00:40:08,Computer 94
05/01/2022 00:20:53,Computer 71
05/01/2022 00:28:45,Computer 61
05/01/2022 00:41:32,Computer 77
05/01/2022 00:37:02,Computer 18
05/01/2022 00:44:14,Computer 35
05/01/2022 00:14:43,Computer 14
05/01/2022 00:36:47,Computer 62
05/01/2022 00:12:09,Computer 52
05/01/2022 00:46:36,Computer 51
05/01/2022 00:23:39,Computer 76
05/01/2022 00:02:28,Computer 37
05/01/2022 00:18:35,Computer 6
05/01/2022 00:58:52,Computer 32
05/01/2022 00:49:39,Computer 65
05/01/2022 00:39:35,Computer 34
05/01/2022 00:55:36,Computer 7
05/01/2022 00:12:31,Computer 100
05/01/2022 00:15:17,Computer 16
05/01/2022 00:53:53,Computer 25
05/01/2022 00:02:36,Computer 1
05/01/2022 00:59:01,Computer 72
05/01/2022 00:36:06,Computer 14
05/01/2022 00:54:34,Computer 4
05/01/2022 00:27:36,Computer 45
05/01/2022 00:22:15,Computer 42
05/01/2022 00:20:16,Computer 8
05/01/2022 00:33:39,Computer 83
05/01/2022 00:51:54,Computer 67
05/01/2022 00:36:25,Computer 44
05/01/2022 00:13:25,Computer 29
05/01/2022 00:30:06,Computer 64
05/01/2022 00:37:55,Computer 30
05/01/2022 00:40:20,Computer 50
05/01/2022 00:35:53,Computer 71
05/01/2022 00:05:26,Computer 75
05/01/2022 00:22:47,Computer 78
05/01/2022 00:55:40,Computer 18
05/01/2022 00:16:51,Computer 30
05/01/2022 00:03:40,Computer 22
05/01/2022 00:07:48,Computer 51
05/01/2022 00:54:38,Computer 63
05/01/2022 00:23:18,Computer 66
05/01/2022 00:10:22,Computer 87
05/01/2022 00:43:07,Computer 48
05/01/2022 00:44:35,Computer 92
05/01/2022 00:44:00,Computer 27
05/01/2022 00:35:52,Computer 93
05/01/2022 00:07:34,Computer 24
05/01/2022 00:46:08,Computer 59
05/01/2022 00:30:29,Computer 93
05/01/2022 00:37:14,Computer 84
05/01/2022 00:17:16,Computer 57
05/01/2022 00:39:53,Computer 23
05/01/2022 00:57:21,Firewall 3
05/01/2022 00:47:59,Computer 66
05/01/2022 00:44:34,Computer 81
05/01/2022 00:11:40,Computer 79
05/01/2022 00:32:59,Computer 53
05/01/2022 00:51:48,Computer 86
05/01/2022 00:15:08,Computer 85
05/01/2022 00:09:00,Computer 50
05/01/2022 00:23:37,Computer 29
05/01/2022 00:25:40,Computer 18
05/01/2022 00:20:18,Firewall 3
05/01/2022 00:23:39,Computer 80
